date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:45	11776/11776	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2254d860c1-2e00%22	http://themes.smartythemes.com/daniel/css/icons/font/fontello.eot?57006227	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/css/icons/font/fontelloc621.eot	(from http://themes.smartythemes.com/daniel/css/icons/css/fontello.css)
17:24:47	7668/7668	---M--	200	added ('OK')	font/woff	etag:%2254d860c1-1df4%22	http://themes.smartythemes.com/daniel/css/icons/font/fontello.woff?57006227	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/css/icons/font/fontelloc621.woff	(from http://themes.smartythemes.com/daniel/css/icons/css/fontello.css)
17:24:49	11608/11608	---M--	200	added ('OK')	application/octet-stream	etag:%2254d860c1-2d58%22	http://themes.smartythemes.com/daniel/css/icons/font/fontello.ttf?57006227	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/css/icons/font/fontelloc621.ttf	(from http://themes.smartythemes.com/daniel/css/icons/css/fontello.css)
17:24:49	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/henribarret1/www.google-analytics.com/analytics.js	(from http://themes.smartythemes.com/daniel/index-stars-bg.html)
17:24:49	138280/138280	---M-Z	200	added ('OK')	application/javascript	etag:%225e67acc0-b04b%22	https://mc.yandex.ru/metrika/watch.js	C:/My%20Web%20Sites/henribarret1/mc.yandex.ru/metrika/watch.js	(from http://themes.smartythemes.com/daniel/index-stars-bg.html)
17:24:49	16014/16014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254d860c1-3e8e%22	http://themes.smartythemes.com/daniel/css/icons/font/fontello.svg?57006227	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/css/icons/font/fontelloc621.svg	(from http://themes.smartythemes.com/daniel/css/icons/css/fontello.css)
17:24:57	143249/143249	---M--	200	added ('OK')	application/javascript	etag:%226465dd4a8331265e6629cd069e03504c%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	C:/My%20Web%20Sites/henribarret1/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from http://themes.smartythemes.com/daniel/index-stars-bg.html)
17:25:05	94145/94145	---M--	200	added ('OK')	image/jpeg	etag:%2254d860ca-16fc1%22	http://themes.smartythemes.com/daniel/images/clouds/clouds-bg.jpg	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/images/clouds/clouds-bg.jpg	(from http://themes.smartythemes.com/daniel/css/style.css)
17:25:23	107777/107777	---M--	200	added ('OK')	image/jpeg	etag:%2254d860c2-1a501%22	http://themes.smartythemes.com/daniel/images/demo-bg.jpg	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/images/demo-bg.jpg	(from http://themes.smartythemes.com/daniel/css/style.css)
17:25:24	3793/3793	---MC-	424	error ('Failed%20Dependency')	text/html	date:Thu,%2012%20Mar%202020%2022:25:24%20GMT	http://themes.smartythemes.com/daniel/images/bg/clouds_bg.jpg	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/images/bg/clouds_bg.1f.delayed	(from http://themes.smartythemes.com/daniel/css/style.css)
17:26:01	394624/394624	---M--	200	added ('OK')	image/jpeg	etag:%2254d860ca-60580%22	http://themes.smartythemes.com/daniel/images/bg/snowfall.jpg	C:/My%20Web%20Sites/henribarret1/themes.smartythemes.com/daniel/images/bg/snowfall.jpg	(from http://themes.smartythemes.com/daniel/css/style.css)
